Name	RA	Dec	V_ref	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
GD 64B	04 57 18.332	+41 55 28.12	13.923	0.7	0.151	0.443	0.432	0.88	2	1	0.0014	0.0035	0.0156	0.0014	0.0007	0.0007	
GD 64C	04 57 21.370	+41 54 23.70	12.915	0.625	0.075	0.406	0.406	0.815	2	1	0.0071	0.0071	0.0085	0.0014	0.0021	0.0071	
GD 64	04 57 22.540	+41 55 56.45	13.976	0.063	-0.559	-0.074	-0.069	-0.146	3	2	0.0021	0.008	0.0075	0.0058	0.0014	0.0007	
GD 64A	04 57 25.311	+41 55 30.57	14.438	0.658	0.114	0.414	0.416	0.834	3	2	0.0058	0.0054	0.0088	0.0007	0.0027	0.0014	
GD 64E	04 57 26.257	+41 55 52.18	11.531	0.239	0.071	0.144	0.171	0.313	2	1	0.0007	0.0014	0.0014	0.0007	0.0021	0.0035	
GD 64F	04 57 28.704	+41 55 50.45	12.195	1.819	2.177	1.082	1.036	2.123	2	1	0.0014	0.0007	0.0021	0.0014	0.0035	0.0014	
SA 26-219	06 42 23.097	+44 47 54.40	10.632	0.509	0.004	0.323	0.326	0.651	15	7	0.0011	0.0005	0.0006	0.0004	0.0004	0.0007	
SA 26-27	06 42 39.409	+44 31 47.34	10.86	0.611	0.113	0.375	0.355	0.732	10	5	0.0009	0.0008	0.0017	0.0006	0.001	0.0016	
SA 26-231	06 42 51.320	+44 51 18.46	10.732	1.117	0.92	0.599	0.549	1.144	14	7	0.0011	0.0005	0.0008	0.0006	0.0004	0.0003	
SA 26-135	06 42 58.715	+44 38 52.53	9.117	1.11	0.918	0.583	0.53	1.113	7	4	0.0019	0.0006	0.0011	0.0005	0.0012	0.0013	
SA 26-234	06 43 07.334	+44 50 32.75	9.371	0.583	0.15	0.339	0.317	0.655	12	6	0.0011	0.0005	0.0008	0.0004	0.0004	0.0004	
SA 26-139	06 43 09.275	+44 40 03.79	11.335	0.838	0.542	0.468	0.404	0.875	13	7	0.0019	0.0008	0.0022	0.0006	0.0003	0.0004	
SA 26-150	06 43 37.042	+44 43 20.73	9.506	1.01	0.747	0.539	0.494	1.04	10	5	0.0006	0.0005	0.0014	0.0004	0.0011	0.0013	
SA 26-58	06 43 38.231	+44 25 11.15	8.507	0.535	0.047	0.315	0.297	0.612	4	2	0.0035	0.0005	0.002	0.0015	0.0015	0.0005	
SA 26-60	06 43 41.731	+44 30 45.40	9.542	0.125	0.175	0.088	0.069	0.157	8	4	0.003	0.0009	0.0009	0.0009	0.0019	0.001	
SA 26-262	06 44 05.750	+44 47 22.64	13.1	0.741	0.253	0.43	0.412	0.842	6	3	0.0045	0.0015	0.0032	0.001	0.0011	0.0021	
SA 26-264	06 44 14.139	+44 46 42.13	15.092	0.631	0.097	0.376	0.347	0.715	12	6	0.0018	0.0028	0.0062	0.0027	0.0054	0.0078	
SA 26-265	06 44 14.929	+44 47 41.53	14.459	0.602	-0.066	0.384	0.401	0.792	25	12	0.0027	0.0027	0.0026	0.0011	0.003	0.0027	
SA 26-268	06 44 19.474	+44 47 35.10	15.366	1.029	0.819	0.615	0.533	1.138	10	5	0.0073	0.0032	0.0241	0.007	0.01	0.0168	
SA 26-269	06 44 21.694	+44 47 43.74	14.855	0.535	0.062	0.303	0.371	0.672	3	2	0.0044	0.0007	0.0027	0.0014	0.0094	0.0093	
SA 26-272	06 44 24.818	+44 46 17.78	14.399	0.919	0.582	0.51	0.465	1	3	2	0.0054	0.0058	0.0091	0.0014	0.0085	0.0085	
SA 26-273	06 44 25.825	+44 48 21.60	15.338	0.722	0.204	0.442	0.356	0.776	3	2	0.0083	0.0095	0.0085	0.0077	0.0099	0.0099	
SA 26-172	06 44 31.718	+44 34 05.88	9.58	0.264	0.123	0.144	0.147	0.289	12	6	0.001	0.0006	0.0013	0.0009	0.0014	0.0006	
SA 26-278	06 44 32.844	+44 47 18.28	15.36	0.765	0.167	0.517	0.437	0.95	1	1	nan	nan	nan	nan	nan	nan	
SA 26-279	06 44 38.232	+44 46 44.95	14.634	0.661	0.08	0.401	0.362	0.764	1	1	nan	nan	nan	nan	nan	nan	
SA 26-280	06 44 39.784	+44 48 25.64	11.089	1.082	0.844	0.579	0.537	1.125	15	8	0.0011	0.001	0.0011	0.0006	0.0012	0.0006	
SA 26-93	06 45 13.215	+44 30 56.56	11.071	1.7	1.772	1.378	1.629	3.001	20	11	0.004	0.0008	0.003	0.0025	0.0006	0.0007	
SA 26-95	06 45 16.159	+44 32 04.67	11.988	0.546	0.016	0.326	0.321	0.644	24	12	0.0024	0.0017	0.005	0.0011	0.0012	0.0015	
SA 26-96	06 45 17.185	+44 27 43.18	10.75	0.548	0.01	0.332	0.331	0.664	2	1	0.0014	0.0014	0.0085	0.0021	0.0014	0.0035	
GD 91	08 30 09.451	+45 20 30.39	15.069	0.182	-0.52	0.037	0.06	0.094	5	3	0.0045	0.008	0.0031	0.0094	0.0157	0.0103	
GD 91B	08 30 10.294	+45 19 10.14	13.626	0.969	0.838	0.543	0.454	0.993	5	3	0.004	0.0022	0.0157	0.0022	0.0045	0.0022	
GD 91A	08 30 16.361	+45 19 50.28	12.437	1.018	0.767	0.532	0.504	1.037	5	3	0.0013	0.0022	0.0076	0.0009	0.0027	0.0022	
PG0837+401B	08 40 58.400	+39 56 27.82	13.702	0.71	0.163	0.424	0.402	0.82	7	4	0.0127	0.0066	0.0028	0.004	0.0021	0.0021	
PG0837+401C	08 41 00.157	+39 55 54.49	12.181	0.556	0.021	0.338	0.346	0.685	7	4	0.0015	0.0019	0.0016	0.0018	0.0018	0.0032	
PG0837+401	08 41 01.307	+39 56 18.13	15.506	-0.245	-0.986	-0.136	-0.262	-0.396	11	5	0.0049	0.0015	0.003	0.0074	0.012	0.0116	
PG0837+401A	08 41 04.495	+39 57 05.65	14.752	0.922	0.747	0.536	0.472	1.016	11	5	0.0025	0.001	0.0035	0.001	0.0071	0.0069	
KUV 345-30A	08 43 09.810	+39 46 15.09	14.619	0.627	0.072	0.365	0.366	0.73	5	2	0.0018	0.0031	0.0098	0.0022	0.0022	0.0009	
KUV 345-30	08 43 12.709	+39 44 49.73	14.324	-0.279	-1.127	-0.121	-0.141	-0.263	4	2	0.0025	0.002	0.0055	0.0025	0.0095	0.009	
PG0846+558B	08 49 41.020	+55 36 08.52	14.799	0.745	0.142	0.424	0.416	0.842	1	1	nan	nan	nan	nan	nan	nan	
PG0846+558A	08 49 42.276	+55 34 45.17	14.691	0.842	0.396	0.467	0.455	0.923	1	1	nan	nan	nan	nan	nan	nan	
PG0846+558	08 49 51.084	+55 35 14.94	16.435	-0.207	-1.043	-0.073	0.051	-0.026	1	1	nan	nan	nan	nan	nan	nan	
GD 98B	08 57 09.788	+40 18 35.13	14.001	0.63	0.115	0.359	0.346	0.708	16	8	0.0006	0.0006	0.0006	0.0015	0.0019	0.0015	
GD 98A	08 57 17.818	+40 17 53.92	13.461	0.92	0.619	0.508	0.472	0.979	24	12	0.001	0.0005	0.0023	0.0004	0.0011	0.0014	
GD 98	08 57 30.443	+40 16 12.62	14.823	-0.126	-0.931	-0.112	-0.116	-0.233	26	12	0.0005	0.0009	0.002	0.0031	0.0053	0.0052	
GD 299	09 38 20.351	+55 05 50.08	12.093	-0.269	-1.158	-0.085	-0.078	-0.168	12	6	0.0028	0.001	0.002	0.0015	0.0017	0.0018	
SA 29-153	09 41 34.127	+44 12 25.37	8.79	1.111	1.089	0.57	0.505	1.071	10	5	0.0022	0.0008	0.0005	0.0012	0.0005	0.0004	
SA 29-157	09 42 01.262	+44 11 46.38	11.291	0.812	0.45	0.449	0.427	0.874	18	9	0.0014	0.0006	0.0021	0.0007	0.0005	0.0008	
SA 29-350	09 42 08.386	+44 32 57.10	10.295	0.478	-0.006	0.285	0.275	0.563	19	9	0.0007	0.0006	0.0004	0.0004	0.0006	0.0007	
SA 29-22	09 42 49.281	+43 49 35.75	10.474	0.565	0.108	0.324	0.299	0.63	16	8	0.0006	0.0004	0.0009	0.0004	0.0005	0.0005	
SA 29-24	09 42 58.482	+43 50 04.87	9.59	0.549	0.015	0.323	0.318	0.645	14	7	0.001	0.0004	0.0006	0.0011	0.0006	0.0007	
SA 29-303	09 44 53.037	+44 25 07.54	8.292	0.602	0.174	0.344	0.329	0.674	4	4	0.004	0.0005	0.001	0.001	0.0015	0.001	
SA 29-322	09 46 31.722	+44 22 32.87	9.766	0.488	0.03	0.285	0.262	0.56	14	7	0.0004	0.0004	0.0006	0.0005	0.0006	0.001	
SA 29-324	09 46 53.607	+44 25 05.72	11.304	1.117	1.075	0.582	0.516	1.097	21	11	0.0005	0.0009	0.0024	0.0005	0.0006	0.0009	
PG0943+521A	09 47 03.487	+51 55 09.32	14.497	0.916	0.624	0.573	0.512	1.089	1	1	nan	nan	nan	nan	nan	nan	
SA 29-327	09 47 04.537	+44 22 31.17	12.133	0.803	0.384	0.458	0.428	0.893	23	12	0.0007	0.0009	0.002	0.0007	0.0011	0.0006	
SA 29-399	09 47 05.253	+44 41 02.64	13.111	0.638	0.125	0.357	0.351	0.705	17	9	0.0017	0.0015	0.002	0.0013	0.001	0.0016	
SA 29-400	09 47 08.212	+44 40 07.66	14.019	0.9	0.51	0.503	0.489	0.987	6	3	0.0015	0.0026	0.0115	0.0024	0.0006	0.0014	
PG0943+521	09 47 11.942	+51 54 08.91	15.123	0.211	-0.983	0.214	0.277	0.494	1	1	nan	nan	nan	nan	nan	nan	
SA 29-402	09 47 16.900	+44 38 20.30	13.875	0.863	0.61	0.468	0.403	0.875	5	3	0.0019	0.0018	0.0007	0.0007	0.0005	0.0017	
SA 29-404	09 47 19.809	+44 40 26.74	13.075	0.8	0.501	0.433	0.373	0.811	1	1	nan	nan	nan	nan	nan	nan	
SA 29-331	09 47 19.945	+44 24 28.55	10.001	0.943	0.634	0.504	0.475	0.976	21	10	0.0006	0.0005	0.0008	0.0006	0.0004	0.0003	
SA 29-405	09 47 20.158	+44 41 08.31	15.431	0.791	0.412	0.478	0.462	0.942	1	1	nan	nan	nan	nan	nan	nan	
SA 29-251	09 47 21.715	+44 14 13.96	9.445	0.349	-0.001	0.219	0.22	0.443	15	7	0.0004	0.0006	0.0011	0.0004	0.0005	0.0007	
SA 29-406	09 47 24.345	+44 39 43.93	14.127	1.239	1.235	0.765	0.689	1.447	5	3	0.0007	0.003	0.0114	0.0036	0.0007	0.004	
SA 29-407	09 47 24.351	+44 37 56.67	14.531	0.524	-0.034	0.325	0.345	0.654	5	3	0.0084	0.0029	0.0024	0.0048	0.0088	0.0092	
SA 29-408	09 47 25.926	+44 41 34.07	13.113	0.484	-0.056	0.304	0.319	0.624	3	2	0.0021	0.0027	0.0027	0.0014	0.0033	0.0027	
SA 29-409	09 47 30.510	+44 40 00.42	13.684	0.51	0.025	0.306	0.309	0.616	3	2	0.009	0.0058	0.0007	0.0033	0.0058	0.0033	
GD 300B	09 55 01.207	+51 39 58.80	12.773	0.662	0.158	0.375	0.367	0.749	17	8	0.001	0.0008	0.0019	0.0003	0.0007	0.0008	
GD 300	09 55 19.466	+51 36 59.03	12.662	-0.321	-1.231	-0.139	-0.175	-0.315	25	13	0.0022	0.0014	0.002	0.0014	0.0027	0.0018	
GD 300A	09 55 34.484	+51 36 41.97	12.985	0.681	0.181	0.392	0.371	0.763	19	9	0.0019	0.0009	0.001	0.0008	0.0013	0.0021	
KUV 348-07	09 56 52.394	+41 15 22.10	15.546	0.065	-0.901	0.252	0.56	0.826	5	2	0.0007	0.0026	0.0051	0.0035	0.004	0.0011	
KUV 348-07A	09 56 57.179	+41 16 49.89	13.992	0.482	-0.163	0.322	0.327	0.653	4	2	0.0012	0.0026	0.0047	0.002	0.0042	0.0012	
KUV 348-07B	09 56 58.396	+41 13 03.63	14.545	0.794	0.346	0.459	0.433	0.9	4	2	0.0007	0.0027	0.0076	0.0014	0.0038	0.0012	
KUV 348-13B	10 03 53.506	+40 32 01.93	14.697	0.699	0.118	0.408	0.441	0.848	2	1	0.0028	0.0127	0.0156	0.0057	0.0071	0.0049	
KUV 348-13	10 03 54.276	+40 34 18.10	13.318	-0.33	-1.069	-0.147	-0.178	-0.313	4	2	0.0013	0.0024	0.002	0.0013	0.0007	0.0031	
KUV 348-13A	10 04 06.316	+40 35 25.49	12.497	0.646	0.159	0.364	0.356	0.72	2	1	0.0049	0.0021	0.0071	0.0042	0.0064	0.0014	
KUV 348-14A	10 05 06.918	+38 47 14.14	13.651	0.515	-0.045	0.306	0.309	0.615	3	1	0.0006	0.0017	0.0012	0.0046	0.0023	0.0052	
KUV 348-14	10 05 09.884	+38 46 15.14	14.336	-0.046	-0.223	-0.024	-0.032	-0.05	5	2	0.0028	0.0012	0.0013	0.0042	0.0022	0.0013	
KUV 348-14B	10 05 17.296	+38 47 35.05	14.425	0.621	0.075	0.355	0.366	0.721	2	1	0.0071	0.0021	0.0042	0.0035	0.0078	0.0113	
KUV 348-14C	10 05 18.521	+38 48 11.44	15.141	0.658	0.118	0.346	0.367	0.712	2	1	0.0071	0.0078	0.0057	0.0021	0.012	0.0134	
GD 111A	10 05 45.210	+42 46 49.44	14.291	0.723	0.241	0.409	0.381	0.792	1	1	nan	nan	nan	nan	nan	nan	
GD 111	10 05 48.965	+42 48 03.14	16.155	-0.099	-0.864	-0.029	-0.22	-0.241	2	1	0.0078	0.0311	0.0247	0.0049	0.0049	0.0099	
GD 111B	10 06 02.757	+42 45 43.10	13.149	0.761	0.289	0.42	0.417	0.838	1	1	nan	nan	nan	nan	nan	nan	
GD 310	11 29 10.923	+38 08 51.64	15.009	-0.178	-1.002	-0.116	-0.139	-0.25	16	8	0.001	0.0009	0.0009	0.0024	0.009	0.0106	
PG1126+469B	11 29 14.264	+46 34 22.59	12.727	0.584	0.048	0.328	0.336	0.668	1	1	nan	nan	nan	nan	nan	nan	
GD 310C	11 29 25.990	+38 06 12.01	13.911	0.892	0.668	0.496	0.426	0.924	15	8	0.0017	0.0013	0.0033	0.0011	0.0022	0.0028	
PG1126+469	11 29 28.671	+46 35 31.75	14.574	-0.136	-0.686	-0.073	-0.081	-0.147	1	1	nan	nan	nan	nan	nan	nan	
GD 310A	11 29 29.898	+38 09 14.09	14.057	0.54	-0.073	0.341	0.356	0.698	15	8	0.0012	0.0015	0.0018	0.0016	0.0021	0.0025	
GD 310B	11 29 35.454	+38 08 12.60	14.2	0.978	0.832	0.595	0.541	1.137	16	8	0.0013	0.0014	0.0052	0.0016	0.0027	0.0029	
PG1126+469A	11 29 36.579	+46 35 44.99	12.77	0.639	0.149	0.365	0.35	0.72	1	1	nan	nan	nan	nan	nan	nan	
KUV 352-09	11 36 24.386	+39 29 33.88	12.967	-0.146	-0.646	-0.065	-0.075	-0.154	7	3	0.0014	0.0038	0.0037	0.0026	0.0066	0.0014	
GD 314E	12 03 47.219	+60 32 08.59	15.014	0.803	0.406	0.477	0.436	0.918	7	3	0.0014	0.0054	0.0021	0.0035	0.0028	0.0014	
GD 314C	12 04 01.598	+60 37 48.53	13.707	0.529	-0.028	0.328	0.334	0.659	8	4	0.0023	0.0029	0.0021	0.0017	0.0069	0.0064	
GD 314D	12 04 02.198	+60 34 57.98	14.538	1.339	1.202	0.822	0.74	1.575	7	3	0.0014	0.0047	0.0035	0.0007	0.0007	0.0063	
GD 314	12 04 38.536	+60 32 08.08	13.568	-0.344	-1.25	-0.149	-0.179	-0.328	14	7	0.0009	0.001	0.0011	0.002	0.0025	0.0028	
GD 314A	12 05 04.878	+60 35 11.92	12.435	0.854	0.441	0.479	0.462	0.942	13	7	0.0009	0.0015	0.0017	0.001	0.0005	0.0005	
GD 314B	12 05 18.007	+60 36 47.89	10.831	0.927	0.659	0.51	0.468	0.98	13	7	0.0006	0.0008	0.0009	0.0006	0.0005	0.0006	
PG1210+533B	12 13 18.722	+53 02 53.73	11.5	0.648	0.144	0.372	0.349	0.723	3	2	0.0023	0.0023	0.004	0.0017	0.0012	0.0012	
PG1210+533A	12 13 24.431	+53 02 27.15	14.461	0.614	0.051	0.356	0.359	0.717	3	2	0.0035	0.0006	0.0023	0.0075	0.0081	0.004	
PG1210+533	12 13 24.643	+53 03 57.27	14.135	-0.311	-1.205	-0.146	-0.196	-0.337	5	2	0.0031	0.004	0.0031	0.0058	0.0072	0.0045	
SA 32-270	12 55 07.557	+44 23 14.09	12.516	0.717	0.234	0.403	0.395	0.797	6	3	0.003	0.0034	0.0044	0.0022	0.0022	0.0009	
SA 32-271	12 55 08.586	+44 23 13.45	11.209	0.639	0.121	0.37	0.353	0.722	12	6	0.0006	0.0004	0.0027	0.001	0.0014	0.0011	
SA 32-272	12 55 10.338	+44 17 28.83	8.961	0.488	-0.106	0.304	0.308	0.613	11	6	0.002	0.0008	0.0033	0.0011	0.0016	0.0019	
SA 32-330	12 55 26.396	+44 33 35.57	10.068	0.665	0.19	0.378	0.342	0.721	11	6	0.0013	0.0008	0.0019	0.0005	0.0007	0.0017	
SA 32-377	12 55 45.397	+44 40 38.60	10.63	0.641	0.101	0.372	0.358	0.735	11	6	0.0006	0.0006	0.0007	0.0011	0.0008	0.0009	
SA 32-379	12 55 50.119	+44 42 22.67	11.174	1.039	0.874	0.547	0.495	1.041	17	9	0.0008	0.0011	0.0018	0.0005	0.0006	0.0006	
SA 32-282	12 56 02.614	+44 26 49.25	10.152	0.48	0.03	0.283	0.28	0.571	11	6	0.0006	0.0005	0.0007	0.0012	0.0016	0.0005	
SA 32-212	12 56 03.313	+44 15 28.14	9.317	1.159	1.131	0.609	0.546	1.156	15	8	0.001	0.0012	0.0025	0.0008	0.0005	0.0011	
SA 32-166	12 56 08.942	+44 00 55.03	16.316	0.522	-0.165	0.409	0.337	0.895	5	3	0.0175	0.019	0.0242	0.0233	0.0111	0.025	
SA 32-167	12 56 11.417	+44 00 32.42	13.51	0.398	-0.032	0.241	0.241	0.477	10	5	0.0006	0.0019	0.0007	0.0008	0.0027	0.0034	
SA 32-105	12 56 29.185	+43 54 07.17	13.372	0.632	0.138	0.364	0.341	0.706	13	6	0.0016	0.0015	0.0051	0.0017	0.0013	0.0021	
SA 32-106	12 56 32.000	+43 56 45.10	13.266	0.685	0.135	0.399	0.394	0.795	13	6	0.0021	0.0024	0.0057	0.0019	0.0012	0.0025	
SA 32-107	12 56 34.300	+43 54 33.99	13.673	0.747	0.312	0.421	0.399	0.821	13	6	0.0024	0.0022	0.004	0.0012	0.0013	0.0019	
SA 32-220	12 56 34.353	+44 15 02.31	13.094	0.646	0.098	0.38	0.363	0.744	7	4	0.0005	0.0017	0.0035	0.0013	0.0009	0.0016	
SA 32-172	12 56 35.217	+44 02 25.52	14.469	0.642	0.063	0.368	0.371	0.737	4	2	0.0015	0.0025	0.009	0.002	0.0065	0.008	
SA 32-221	12 56 36.794	+44 14 59.60	11.429	0.682	0.235	0.378	0.345	0.728	16	9	0.0005	0.0023	0.0032	0.0014	0.0005	0.0015	
SA 32-109	12 56 40.337	+43 56 33.74	11.891	0.536	-0.043	0.325	0.329	0.65	22	11	0.0011	0.0008	0.0011	0.0004	0.0009	0.001	
SA 32-174	12 56 55.284	+44 05 00.64	12.433	0.721	0.169	0.431	0.415	0.843	10	5	0.0007	0.0008	0.0006	0.0009	0.0006	0.0009	
SA 32-175	12 57 00.485	+44 05 02.78	13.544	1.063	0.977	0.652	0.546	1.197	12	6	0.0013	0.0018	0.0077	0.0009	0.0019	0.0019	
GD 153	12 57 02.325	+22 01 52.66	13.349	-0.289	-1.177	-0.139	-0.18	-0.32	4	2	0.004	0.0035	0.005	0.0065	0.0085	0.0025	
SA 32-176	12 57 03.215	+44 00 33.80	10.212	1.071	0.984	0.561	0.501	1.071	24	13	0.0013	0.0006	0.0012	0.0009	0.0004	0.0008	
SA 32-177	12 57 17.140	+44 01 00.49	11.377	0.601	0.015	0.358	0.346	0.706	25	13	0.0007	0.0007	0.0016	0.0004	0.0009	0.0009	
SA 32-178	12 57 25.633	+44 02 02.82	11.313	0.805	0.463	0.457	0.421	0.874	25	13	0.0007	0.0008	0.001	0.0007	0.0006	0.0005	
SA 32-113	12 57 25.835	+43 56 32.95	10.834	0.906	0.639	0.531	0.461	0.998	20	11	0.0022	0.001	0.0018	0.0011	0.0004	0.0012	
SA 32-62	12 58 30.288	+43 43 19.21	9.788	1.086	0.938	0.55	0.514	1.068	1	1	nan	nan	nan	nan	nan	nan	
SA 32-64	12 58 36.649	+43 43 35.26	11.831	0.603	0.017	0.334	0.344	0.68	3	1	0.0012	0.0017	0.0035	0.0029	0.0006	0.0035	
PG1314+442A	13 16 31.974	+43 58 14.74	15.383	0.707	0.162	0.41	0.409	0.818	5	3	0.004	0.0058	0.0192	0.0067	0.0076	0.0094	
PG1314+442	13 16 33.109	+43 59 05.46	15.243	-0.135	-0.993	0.021	0.034	0.053	5	3	0.0027	0.0107	0.0045	0.0018	0.004	0.004	
GD 325	13 36 01.794	+48 28 46.15	13.968	0.032	-0.953	0.234	0.776	1.005	9	4	0.0012	0.004	0.0012	0.0031	0.0014	0.0013	
GD 325A	13 36 08.189	+48 28 57.62	14.094	0.858	0.51	0.502	0.467	0.965	9	4	0.0028	0.0007	0.0021	0.0025	0.0028	0.0036	
GD 325B	13 36 27.776	+48 29 30.70	11.972	0.675	0.164	0.404	0.385	0.784	8	4	0.0008	0.0022	0.0007	0.0011	0.0011	0.0012	
GD 325C	13 36 31.813	+48 30 17.74	12.977	0.469	-0.012	0.299	0.297	0.587	8	4	0.0012	0.0007	0.0013	0.0007	0.0013	0.0021	
PG1343+578	13 45 01.414	+57 30 12.84	13.809	0.014	-0.59	0.065	0.059	0.123	1	1	nan	nan	nan	nan	nan	nan	
PG1343+578A	13 45 04.743	+57 32 11.27	13.878	0.591	0.081	0.356	0.339	0.696	1	1	nan	nan	nan	nan	nan	nan	
GD 336B	14 31 46.324	+37 07 46.67	12.985	0.646	0.155	0.368	0.348	0.716	15	8	0.0016	0.0012	0.0023	0.001	0.0014	0.0013	
GD 336A	14 31 50.878	+37 05 17.40	13.424	0.359	-0.054	0.217	0.218	0.436	15	8	0.0028	0.0018	0.0024	0.0014	0.0023	0.0029	
GD 336	14 31 56.628	+37 06 30.07	15.283	-0.27	-1.149	-0.147	-0.215	-0.366	15	7	0.0031	0.0024	0.0024	0.003	0.0102	0.0088	
GD 336C	14 32 03.469	+37 04 19.95	13.627	0.562	0.006	0.328	0.325	0.655	15	8	0.0016	0.0019	0.0035	0.0013	0.0031	0.0029	
PG1430+427C	14 32 20.592	+42 30 24.07	11.421	0.454	-0.109	0.281	0.281	0.561	9	5	0.0013	0.0021	0.0007	0.0011	0.0017	0.0006	
PG1430+427	14 32 33.889	+42 30 19.07	14.218	-0.148	-0.669	-0.058	-0.067	-0.13	12	6	0.0012	0.0012	0.0018	0.0024	0.0014	0.0014	
PG1430+427A	14 32 39.438	+42 30 40.02	11.907	0.759	0.402	0.419	0.378	0.794	9	5	0.0007	0.0025	0.0019	0.0012	0.0014	0.0013	
PG1430+427B	14 32 46.756	+42 32 19.21	12.039	0.9	0.664	0.483	0.428	0.91	7	4	0.0034	0.0015	0.0042	0.0023	0.0008	0.0026	
SA 35-316	15 49 41.176	+44 35 23.77	9.953	0.462	0.061	0.282	0.279	0.559	16	8	0.0012	0.0006	0.0006	0.001	0.0009	0.0007	
SA 35-243	15 49 49.168	+44 27 53.56	12.011	0.542	-0.016	0.319	0.319	0.648	8	4	0.0005	0.0022	0.0006	0.0007	0.0011	0.0014	
SA 35-245	15 49 49.958	+44 31 19.49	7.686	0.111	0.101	0.055	0.046	0.097	2	1	0.0021	0.0035	0.0014	0.0035	0.0014	0.0014	
SA 35-318	15 50 01.814	+44 33 04.74	11.807	0.18	0.124	0.129	0.159	0.286	19	10	0.0012	0.001	0.0006	0.0009	0.0004	0.001	
SA 35-491	15 50 33.186	+44 58 06.22	11.539	0.915	0.663	0.509	0.457	0.964	13	7	0.001	0.0009	0.0039	0.0014	0.0009	0.0015	
SA 35-492	15 50 38.980	+45 00 37.36	9.829	0.556	0.013	0.332	0.329	0.658	10	5	0.0008	0.0009	0.0011	0.0013	0.002	0.0006	
SA 35-338	15 51 50.503	+44 41 51.75	9.605	0.371	-0.015	0.221	0.225	0.456	12	6	0.0012	0.0004	0.0011	0.0011	0.0017	0.0004	
SA 35-339	15 51 54.385	+44 32 29.14	12.775	0.554	0.028	0.336	0.329	0.662	4	2	0.002	0.003	0.0044	0.0032	0.0007	0.0027	
SA 35-341	15 51 56.722	+44 33 24.64	12.565	0.559	0.007	0.337	0.33	0.67	18	9	0.0022	0.0011	0.0021	0.0013	0.0009	0.0018	
SA 35-343	15 51 57.200	+44 35 26.22	10.87	0.433	-0.063	0.271	0.254	0.529	11	6	0.0007	0.0012	0.0013	0.0018	0.0005	0.001	
SA 35-261	15 52 04.173	+44 24 58.31	12.126	1.508	1.898	0.86	0.884	1.74	25	11	0.0009	0.0006	0.0031	0.0007	0.0006	0.0004	
SA 35-262	15 52 05.049	+44 26 00.66	12.835	0.499	-0.032	0.299	0.307	0.609	19	10	0.0006	0.0008	0.0006	0.0009	0.0014	0.0012	
SA 35-263	15 52 05.068	+44 30 01.39	13.552	0.833	0.503	0.464	0.423	0.894	8	4	0.0018	0.0007	0.0037	0.0019	0.0007	0.0022	
SA 35-264	15 52 12.896	+44 28 30.81	13.775	0.828	0.499	0.457	0.401	0.857	6	3	0.0045	0.0029	0.0086	0.002	0.0029	0.0045	
SA 35-265	15 52 13.784	+44 28 55.85	16.039	0.517	-0.091	0.363	0.341	0.677	8	4	0.0046	0.0063	0.0041	0.0007	0.0091	0.0116	
SA 35-266	15 52 23.534	+44 30 23.32	12.913	1.056	0.979	0.569	0.506	1.075	10	5	0.0007	0.0014	0.0007	0.001	0.0017	0.0017	
SA 35-267	15 52 24.277	+44 26 00.06	16.093	0.596	-0.008	0.354	0.345	0.698	8	4	0.0021	0.0021	0.0076	0.0038	0.0117	0.0097	
SA 35-518	15 53 28.862	+44 57 30.75	9.258	0.156	0.107	0.062	0.086	0.157	5	3	0.0013	0.0011	0.0011	0.0007	0.0019	0.0016	
SA 35-526	15 54 19.828	+44 55 06.78	9.024	1.055	1.002	0.541	0.496	1.035	6	3	0.0011	0.0029	0.005	0.0019	0.0008	0.0023	
SA 35-535	15 55 00.665	+44 59 20.41	9.12	1.251	1.413	0.66	0.581	1.241	4	3	0.0025	0.0011	0.0038	0.0011	0.0006	0.0011	
SA 35-539	15 55 13.789	+44 58 15.44	12.92	0.778	0.42	0.45	0.407	0.858	12	6	0.001	0.0018	0.0013	0.0007	0.0012	0.0015	
KUV 433-03	16 38 26.317	+35 00 11.86	14.902	-0.255	-1.062	-0.111	-0.148	-0.255	7	3	0.0007	0.0007	0.0007	0.0018	0.0007	0.0027	
KUV 433-03A	16 38 27.812	+34 59 46.59	15.578	1.223	1.274	0.741	0.613	1.356	5	2	0.001	0.0073	0.0063	0.0018	0.0014	0.0006	
GD 358	16 47 18.358	+32 28 32.93	13.653	-0.123	-1.019	-0.099	-0.097	-0.199	13	6	0.0095	0.0036	0.0041	0.004	0.0029	0.006	
GD 358A	16 47 22.314	+32 25 31.30	13.496	0.943	0.747	0.569	0.485	1.056	12	6	0.0022	0.0025	0.0022	0.0018	0.0011	0.0023	
GD 358B	16 47 23.224	+32 23 37.16	12.57	0.677	0.215	0.378	0.361	0.735	11	6	0.002	0.001	0.0013	0.0016	0.0028	0.0025	
PG1648+536E	16 49 48.175	+53 31 30.23	15.152	0.668	0.172	0.407	0.326	0.736	2	1	0.0007	0.0113	0.0071	0.012	0.0184	0.0304	
PG1648+536A	16 49 57.450	+53 30 18.56	14.329	0.744	0.299	0.415	0.387	0.799	13	6	0.0051	0.0025	0.0057	0.0032	0.0037	0.0054	
